name,province_id
SAN FERNANDO,26
SAN JOSE,26
SANTA FE,26
FERROL,26
SANTA MARIA (IMELDA),26
BACACAY,27
CAMALIG,27
DARAGA (LOCSIN),27
GUINOBATAN,27
JOVELLAR,27
LEGAZPI CITY (Capital),27
LIBON,27
CITY OF LIGAO,27
MALILIPOT,27
MALINAO,27
MANITO,27
OAS,27
PIO DURAN,27
POLANGUI,27
RAPU-RAPU,27
SANTO DOMINGO (LIBOG),27
CITY OF TABACO,27
TIWI,27
BASUD,28
CAPALONGA,28
DAET (Capital),28
SAN LORENZO RUIZ (IMELDA),28
JOSE PANGANIBAN,28
LABO,28
MERCEDES,28
PARACALE,28
SAN VICENTE,28
SANTA ELENA,28
TALISAY,28
VINZONS,28
BAAO,29
BALATAN,29
BATO,29
BOMBON,29
BUHI,29
BULA,29
CABUSAO,29
CALABANGA,29
CAMALIGAN,29
CANAMAN,29
CARAMOAN,29
DEL GALLEGO,29
GAINZA,29
GARCHITORENA,29
GOA,29
IRIGA CITY,29
LAGONOY,29
LIBMANAN,29
LUPI,29
MAGARAO,29
MILAOR,29
MINALABAC,29
NABUA,29
NAGA CITY,29
OCAMPO,29
PAMPLONA,29
PASACAO,29
PILI (Capital),29
PRESENTACION (PARUBCAN),29
RAGAY,29
SAGNAY,29
SAN FERNANDO,29
SAN JOSE,29
SIPOCOT,29
SIRUMA,29
TIGAON,29
TINAMBAC,29
BAGAMANOC,30
BARAS,30
BATO,30
CARAMORAN,30
GIGMOTO,30
PANDAN,30
PANGANIBAN (PAYO),30
SAN ANDRES (CALOLBON),30
SAN MIGUEL,30
VIGA,30
VIRAC (Capital),30
AROROY,31
BALENO,31
BALUD,31
BATUAN,31
CATAINGAN,31
CAWAYAN,31
CLAVERIA,31
DIMASALANG,31
ESPERANZA,31
MANDAON,31
CITY OF MASBATE (Capital),31
MILAGROS,31
MOBO,31
MONREAL,31
PALANAS,31
PIO V. CORPUZ (LIMBUHAN),31
PLACER,31
SAN FERNANDO,31
SAN JACINTO,31
SAN PASCUAL,31
USON,31
BARCELONA,32
BULAN,32
BULUSAN,32
CASIGURAN,32
CASTILLA,32
DONSOL,32
GUBAT,32
IROSIN,32
JUBAN,32
MAGALLANES,32
MATNOG,32
PILAR,32
PRIETO DIAZ,32
SANTA MAGDALENA,32
CITY OF SORSOGON (Capital),32
ALTAVAS,33
BALETE,33
BANGA,33
BATAN,33
BURUANGA,33
IBAJAY,33
KALIBO (Capital),33
LEZO,33
LIBACAO,33
MADALAG,33
MAKATO,33
MALAY,33
MALINAO,33
NABAS,33
NEW WASHINGTON,33
NUMANCIA,33
TANGALAN,33
ANINI-Y,34
BARBAZA,34
BELISON,34
BUGASONG,34
CALUYA,34
CULASI,34
TOBIAS FORNIER (DAO),34
HAMTIC,34
LAUA-AN,34
LIBERTAD,34
PANDAN,34
PATNONGON,34
SAN JOSE (Capital),34
SAN REMIGIO,34
SEBASTE,34
SIBALOM,34
TIBIAO,34
VALDERRAMA,34
CUARTERO,35
DAO,35
DUMALAG,35
DUMARAO,35
IVISAN,35
JAMINDAN,35
MA-AYON,35
MAMBUSAO,35
PANAY,35
PANITAN,35
